"Worksheet 1b: Number of opposite-sex marriages by year and type of ceremony, England and Wales, 1837 to 2020 [note 1]",...2,...3,...4,...5,...6,...7,...8,...9,...10
This worksheet contains one table.,NA,NA,NA,NA,NA,NA,NA,NA,NA
This worksheet refers to notes which can be found on the notes worksheet.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Some shorthand is used in this table, [x] = not available, [z] = not applicable.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,All marriages of opposite-sex couples,"Civil ceremonies
All","Civil ceremonies
Approved Premises [note 4]","Religious ceremonies
All","Religious ceremonies
Church of England and Church in Wales","Religious ceremonies
Roman Catholic and other Christian denominations [note 5]","Religious ceremonies
Roman Catholic","Religious ceremonies
Other Christian denominations",Religious ceremonies Other [note 3] [note 6]
2020,82959,70518,60176,12441,8158,3379,1260,2119,904
2019,213122,173225,156114,39897,28912,8842,4049,4793,2143
2018,227870,179752,162545,48118,35536,10303,4958,5345,2279
2017,235910,181607,167415,54303,40051,11944,5841,6103,2308
2016,242774,182766,165466,60008,44392,13129,6513,6616,2487
2015,239020,176406,157243,62614,45901,13938,7001,6937,2775
2014,247372,179344,158057,68028,49717,15493,7598,7895,2818
2013,240854,172254,147875,68600,50226,15585,7550,8035,2789
2012,263640,184167,156548,79473,58797,17691,8664,9027,2985
2011,249133,174681,143296,74452,54463,17234,8390,8844,2755
2010,243808,165680,125612,78128,57607,17654,8622,9032,2867
2009,232443,155950,111313,76493,56236,17399,8426,8973,2858
2008,235794,157296,106298,78498,57057,18654,8909,9745,2787
2007,235367,156198,101158,79169,57101,19255,8904,10351,2813
2006,239454,158350,95763,81104,57963,20512,9263,11249,2629
2005,247805,162169,90239,85636,61155,21914,9599,12315,2567
2004,273069,184913,85154,88156,62006,23428,9850,13578,2722
2003,270109,183124,73784,86985,60385,24046,9858,14188,2554
2002,255596,169210,61749,86386,58980,24888,10044,14844,2518
2001,249227,160238,50149,88989,60878,25728,10518,15210,2383
2000,267961,170800,45792,97161,65536,29063,11312,17751,2562
1999,263515,162679,37709,100836,67219,31089,12399,18690,2528
1998,267303,163072,28879,104231,69494,32361,12615,19746,2376
1997,272536,165516,22052,107020,70310,34336,13125,21211,2374
1996,278975,164158,15210,114817,75147,37594,13989,23605,2076
1995,283012,155490,2496,127522,83685,41803,15181,26622,2034
1994,291069,152113,[z],138956,90703,46236,16429,29807,2017
1993,299197,152930,[z],146267,96060,48269,17465,30804,1938
1992,311564,156967,[z],154597,101883,50801,18795,32006,1913
1991,306756,151333,[z],155423,102840,50620,19551,31069,1963
1990,331150,156875,[z],174275,115328,57054,22455,34599,1893
1989,346697,166651,[z],180046,118956,59288,23737,35551,1802
1988,348492,168897,[z],179595,118423,59347,24372,34975,1825
1987,351761,168190,[z],183571,121293,60609,25020,35589,1669
1986,347924,168255,[z],179669,117804,60085,24578,35507,1780
1985,346389,169025,[z],177364,116378,59145,25207,33938,1841
1984,349186,170506,[z],178680,117506,59475,25609,33866,1699
1983,344334,167327,[z],177007,116854,58463,25211,33252,1690
1982,342166,165089,[z],177077,116978,58669,24834,33835,1430
1981,351973,172514,[z],179459,118435,59536,26097,33439,1488
1980,370022,183395,[z],186627,123400,61717,28553,33164,1510
1979,368853,187381,[z],181472,119420,60484,28477,32007,1568
1978,368258,186239,[z],182019,119970,60536,28654,31882,1513
1977,356954,180446,[z],176508,116749,58212,28204,30008,1547
1976,358567,179330,[z],179237,119569,58176,28714,29462,1492
1975,380620,181824,[z],198796,133074,64152,32307,31845,1570
1974,384389,178710,[z],205679,137767,67912,33702,34210,[x]
1973,400435,184724,[z],215711,143853,71858,36267,35591,[x]
1972,426241,194134,[z],232107,155538,76569,39694,36875,[x]
1971,404737,167101,[z],237636,160165,77471,41399,36072,[x]
1970,415487,164119,[z],251368,170146,81222,43658,37564,[x]
1969,396746,143115,[z],253631,172067,81564,43441,38123,[x]
1968,407822,144572,[z],263250,178700,84550,44931,39619,[x]
1967,386052,131576,[z],254476,173278,81198,43305,37893,[x]
1966,384497,127502,[z],256995,175254,81741,43814,37927,[x]
1965,371127,118034,[z],253093,171848,81245,43192,38053,[x]
1964,359307,111053,[z],248254,167742,80512,42525,37987,[x]
1963,351329,107384,[z],243945,163837,80108,42272,37836,[x]
1962,347732,103102,[z],244630,164707,79923,42788,37135,[x]
1961,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1960,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1959,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1958,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1957,346903,97084,[z],249819,172010,77809,39960,37849,[x]
1956,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1955,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1954,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1953,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1952,349308,106777,[z],242531,173282,69249,33050,36199,[x]
1951,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1950,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1949,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1948,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1947,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1946,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1945,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1944,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1943,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1942,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1941,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1940,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1939,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1938,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1937,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1936,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1935,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1934,342307,97120,[z],245187,183123,62064,22323,39741,[x]
1933,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1932,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1931,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1930,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1929,313316,80475,[z],232841,176113,56728,18711,38017,[x]
1928,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1927,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1926,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1925,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1924,296416,70604,[z],225812,171480,54332,16286,38046,[x]
1923,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1922,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1921,[x],[x],[x],[x],[x],[x],[x],[x],[x]
