"Worksheet 1c: Number of same-sex marriages by year, type of ceremony and sex, England and Wales, 2014 to 2020 [note 2]",...2,...3,...4,...5,...6,...7
This worksheet contains one table.,NA,NA,NA,NA,NA,NA
This worksheet refers to notes which can be found on the notes worksheet.,NA,NA,NA,NA,NA,NA
Notes,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,NA,NA,NA,NA
Year,All marriages of same-sex couples,Male,Female,"Civil ceremonies
All","Civil ceremonies
Approved Premises [note 4]",Religious ceremonies
2020,2811,1202,1609,2794,2369,17
2019,6728,2866,3862,6680,5989,48
2018,6925,2966,3959,6862,6169,63
2017,6932,3048,3884,6889,6299,43
2016,7019,3109,3910,6958,6171,61
2015,6493,2860,3633,6449,5663,44
2014,4850,2129,2721,4827,4200,23
